index,value,timeSec
0,145.48866573837503,0.0
1,145.30267920649993,2.2675736961451248E-5
2,145.11631054540882,4.5351473922902495E-5
3,144.92962254629344,6.802721088435374E-5
4,144.7425864481101,9.070294784580499E-5
5,144.55538712251433,1.1337868480725624E-4
6,144.36848411014495,1.3605442176870748E-4
7,144.18078050702292,1.5873015873015873E-4
8,143.99548252137032,1.8140589569160998E-4
9,143.81277502140904,2.0408163265306123E-4
10,143.63873292416926,2.2675736961451248E-4
11,143.4502553986413,2.4943310657596373E-4
12,143.2702940717619,2.7210884353741496E-4
13,143.10702963973023,2.9478458049886624E-4
14,142.91645602887587,3.1746031746031746E-4
15,142.7285746009434,3.401360544217687E-4
16,142.5457675824462,3.6281179138321996E-4
17,142.37011197824313,3.854875283446712E-4
18,142.2139084363226,4.0816326530612246E-4
19,142.02149275886083,4.308390022675737E-4
20,141.8628150119059,4.5351473922902497E-4
21,141.6855376056721,4.761904761904762E-4
22,141.52839011139855,4.988662131519275E-4
23,141.3773966272504,5.215419501133786E-4
24,141.18916128455317,5.442176870748299E-4
25,141.02606551477487,5.668934240362812E-4
26,140.87865023502513,5.895691609977325E-4
27,140.72643898837782,6.122448979591836E-4
28,140.54968771090282,6.349206349206349E-4
29,140.36286372584678,6.575963718820862E-4
30,140.19895925459505,6.802721088435374E-4
31,140.0206518122328,7.029478458049886E-4
32,139.84207308073334,7.256235827664399E-4
33,139.67738532963185,7.482993197278912E-4
34,139.5084011443142,7.709750566893424E-4
35,139.3476652040471,7.936507936507937E-4
36,139.20720335483088,8.163265306122449E-4
37,139.0681870953468,8.390022675736961E-4
38,138.9232322631059,8.616780045351474E-4
39,138.76550404992844,8.843537414965987E-4
40,138.61355913557458,9.070294784580499E-4
41,138.4990771917689,9.297052154195011E-4
42,138.38867222450122,9.523809523809524E-4
43,138.26385107688483,9.750566893424037E-4
44,138.16645573392034,9.97732426303855E-4
45,138.09023094844315,0.0010204081632653062
46,138.01100687951765,0.0010430839002267573
47,137.93784825750623,0.0010657596371882086
48,137.84924025184296,0.0010884353741496598
49,137.71878511460494,0.0011111111111111111
50,137.56076654064546,0.0011337868480725624
51,137.4024694365092,0.0011564625850340137
52,137.24023307115522,0.001179138321995465
53,137.05730429282016,0.001201814058956916
54,136.87550546163266,0.0012244897959183673
55,136.70292570051402,0.0012471655328798186
56,136.5252534977178,0.0012698412698412698
57,136.33098502494062,0.0012925170068027211
58,136.1573240970665,0.0013151927437641724
59,136.009796297257,0.0013378684807256237
60,135.83237115508211,0.0013605442176870747
61,135.62984160720538,0.001383219954648526
